Project,Apk,crySL-Rules,Objects-Analyzed,Violations,Source-Code,Issues(CryptoGuard)
Itracing,net.sylvek.itracing2_82.apk,47,12,18,https://github.com/sylvek/itracing
NextPush,org.unifiedpush.distributor.nextpush_6.apk,47,16,17,https://github.com/UP-NextPush/android
e-Passport Reader,com.tananaev.passportreader_16.apk,47,73,48,https://github.com/tananaev/passport-reader
Webmon,ooo.akito.webmon_12.apk,47,42,34,https://github.com/theAkito/webmon
OUI Lookup and Database,org.alberto97.ouilookup_3.apk,47,9,7,https://github.com/Alberto97/OUILookup
Keep it up,net.ibbaa.keepitup_2.apk,47,1,0,https://github.com/ibbaa/keepitup
ServeIt, , , , ,https://github.com/many-fac3d-g0d/ServeIt
Valetudo Companion,cloud.valetudo.companion_7.apk,47,0,0,https://github.com/Hypfer/valetudo-companion
Nextcloud Maps Geobookmarks,it.danieleverducci.nextcloudmaps_5.apk,47,2,2,https://github.com/penguin86/nextcloud-maps-client
AVNC,com.gaurav.avnc_7.apk,47,126,78,https://github.com/gujjwal00/avnc
Anonymous Messenger,com.dx.anonymousmessenger_46.apk,47,64,45,https://git.anonymousmessenger.ly/dx/AnonymousMessenger
AirGuard - AirTag tracking protection,de.seemoo.at_tracking_detection_19.apk,47,20,18,https://github.com/seemoo-lab/AirGuard
UP-Example,org.unifiedpush.example_14.apk,47,0,0,https://github.com/UnifiedPush/android-example
CIFS Documents Provider,com.wa2c.android.cifsdocumentsprovider_8.apk,47,59,32,https://github.com/wa2c/cifs-documents-provider
strongSwan VPN Client,org.strongswan.android_75.apk,47,4,3,https://github.com/strongswan/strongswan
Fluffyboard,pro.oblivioncoding.fluffy_board_33112291.apk,47,0,0,https://github.com/Y0ngg4n/fluffy_board
droidVNC-NG,net.christianbeier.droidvnc_ng_9.apk,47,0,0,https://github.com/bk138/droidVNC-NG
Snapdrop for Android,com.fmsys.snapdrop_18.apk,47,0,0,https://github.com/fm-sys/snapdrop-android
CanZE,lu.fisch.canze_94.apk,47,0,0,https://github.com/fesch/CanZE
NextcloudServices,com.polar.nextcloudservices_11.apk,47,3,2,https://github.com/Andrewerr/NextcloudServices
BootBoi, , , , ,https://github.com/BootBoi/android-app
Vernet, , , , ,https://github.com/git-elliot/vernet
Lucia App, , , , ,https://codeberg.org/errhammr/Lucia-App
Nextcloud Cookbook,com.nextcloud_cookbook_flutter_19.apk,47,14,10,https://github.com/Teifun2/nextcloud-cookbook-flutter
Platypush,tech.platypush.platypush_1000100.apk,47,0,0,https://git.platypush.tech/platypush/platypush-app
DozeOff,com.dosse.dozeoff_2.apk,47,0,0,https://github.com/adolfintel/DozeOff
Loud Bang,aq.metallists.loudbang_45.apk,47,0,0,https://github.com/TheMetallists/LoudBang,2
mpv remote,miccah.mpvremote_1.apk-summary.csv,47,3,4,https://github.com/mcastorina/mpv-remote-app
Uploadgram,com.pato05.uploadgram_6.apk,47,0,0,https://github.com/Uploadgram/app
Thor Browser,threads.thor_100.apk,47,171,86,https://gitlab.com/remmer.wilts/thor
NoProvider2Push,org.unifiedpush.distributor.noprovider2push_7.apk,47,59,82,https://github.com/NoProvider2Push/android
Lighthouse Power Management,com.jeroen1602.lighthouse_pm_8.apk,47,0,0,https://github.com/jeroen1602/lighthouse_pm
SSTV Encoder,om.sstvencoder_26.apk,47,0,0,https://github.com/olgamiller/SSTVEncoder2
Robot36 - SSTV Image Decoder,xdsopl.robot36_45.apk,47,0,0,https://github.com/xdsopl/robot36/tree/android
Sideload Helper by Rebble,io.rebble.charon_5.apk,47,0,0,https://github.com/pebble-dev/rebble-sideloader
Crypto Wallet Messenger Ethereum Browser,im.status.ethereum_2021102112.apk,47,176,167,https://github.com/status-im/status-react
Freenet mobile, , , , ,https://github.com/freenet-mobile/app
NC Passwords,de.jbservices.nc_passwords_app_20.apk,47,75,276,https://gitlab.com/joleaf/nc-passwords-app
Sharik - file sharing via WI-FI,dev.marchello.sharik_13.apk,47,0,0,https://github.com/marchellodev/sharik
Repeater-START,com.hearham.repeaterstart_7.apk,47,12,9,https://github.com/programmin1/Repeater-START-android
Tailscale,com.tailscale.ipn_82.apk,47,0,0,https://github.com/tailscale/tailscale-android
Home Assistant,io.homeassistant.companion.android.minimal_1818.apk,47,42,38,https://github.com/home-assistant/android
treehouses remote, , , , ,https://github.com/treehouses/remote
Mullvad VPN: privacy is a universal right,net.mullvad.mullvadvpn_21010099.apk,47,0,0,https://github.com/mullvad/mullvadvpn-app
Device Connect,net.dcnnt_22.apk,47,10,10,https://github.com/cyanomiko/dcnnt-android
Share To InputStick,me.hackerchick.sharetoinputstick_19.apk,47,11,8,https://github.com/TheLastProject/ShareToInputStick
ProtonVPN - Secure and Free VPN,ch.protonvpn.android_102119009.apk,47,178,336,https://github.com/ProtonVPN/android-app
MetaApp,at.h4x.metaapp_10102.apk,47,0,0,https://codeberg.org/uniqx/MetaApp,7
AndrOBD SensorProvider,com.fr3ts0n.androbd.plugin.gpsprovider_10101.apk,47,0,0,https://github.com/fr3ts0n/AndrOBD-Plugin
IPFS Lite, , , , ,https://gitlab.com/remmer.wilts/ipfs-lite
Selfnet WIFI-Setup,de.selfnet.wifisetup_6.apk,47,0,0,https://github.com/Selfnet/selfnet-wificonfig
card10 Companion,de.ccc.events.badge.card10_9.apk,47,15,16,https://git.card10.badge.events.ccc.de/card10/companion-app-android
OpenPods,com.dosse.airpods_18.apk,47,0,0,https://github.com/adolfintel/OpenPods
My Leaf,dk.kjeldsen.carwingsflutter_193.apk,47,12,13,https://gitlab.com/tobiaswkjeldsen/carwingsflutter
MultiVNC,com.coboltforge.dontmind.multivnc_87.apk,47,0,0,https://github.com/bk138/multivnc
Presence Publisher,org.ostrya.presencepublisher_42.apk,47,84,138,https://github.com/ostrya/PresencePublisher
Manyverse,se.manyver_115.apk,47,14,12,https://gitlab.com/staltz/manyverse/tree/HEAD
Briar,org.briarproject.briar.android_10403.apk-summary.csv,47,45,22,https://code.briarproject.org/briar/briar
WiFi Automatic,de.j4velin.wifiAutoOff_1910.apk,47,0,0,https://github.com/j4velin/WiFi-Automatic
Gadgetbridge,nodomain.freeyourgadget.gadgetbridge_208.apk,47,15,12,https://codeberg.org/Freeyourgadget/Gadgetbridge
Dialer for Pebble,com.matejdro.pebbledialer_41.apk,47,5,2,https://github.com/matejdro/PebbleDialer-Android
AndrOBD, , , , ,https://github.com/fr3ts0n/AndrOBD
RasPi Check, , , , ,https://github.com/eidottermihi/rpicheck
WiFiAnalyzer,com.vrem.wifianalyzer_58.apk,47,4,2,https://github.com/VREMSoftwareDevelopment/WifiAnalyzer
Missed Notifications Reminder,com.app.missednotificationsreminder_2010605222.apk,47,8,11,https://github.com/httpdispatch/MissedNotificationsReminder
TUC WLAN,de.tu_chemnitz.wlan_17.apk,47,0,0,https://gitlab.hrz.tu-chemnitz.de/urz-anwendungen/TucWLAN
Tinc App, , , , ,https://github.com/pacien/tincapp
TrebleShot,com.genonbeta.TrebleShot_104.apk,47,95,90,https://github.com/trebleshot/android
Moscow Wi-Fi autologin,pw.thedrhax.mosmetro_77.apk,47,18,12,https://github.com/mosmetro-android/mosmetro-android
AndrOBD MQTTPublisher,com.fr3ts0n.ecu.gui.androbd_20502.apk,47,0,0,https://github.com/fr3ts0n/AndrOBD-Plugin
SyncPlayer,io.github.powerinside.syncplay_23.apk,47,5,4,https://github.com/mo3rfan/syncplayer
AsteroidOS Sync,org.asteroidos.sync_21.apk,47,11,8,https://github.com/AsteroidOS/AsteroidOSSync
