apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
com.polar.nextcloudservices_11;7;0;2;5
ooo.akito.webmon_12;43;0;2;41
pw.thedrhax.mosmetro_77;13;12;0;1
se.manyver_115;15;0;12;3
org.asteroidos.sync_21;11;0;8;3
com.tananaev.passportreader_16;49;0;0;49
io.rebble.charon_5;0;0;0;0
dev.marchello.sharik_13;0;0;0;0
com.gaurav.avnc_7;74;71;3;0
com.nextcloud_cookbook_flutter_19;10;0;0;10
com.dosse.dozeoff_2;0;0;0;0
org.unifiedpush.distributor.nextpush_6;19;0;16;3
me.hackerchick.sharetoinputstick_19;8;8;0;0
pro.oblivioncoding.fluffy_board_33112291;0;0;0;0
lu.fisch.canze_94;0;0;0;0
miccah.mpvremote_1;4;0;0;4
cloud.valetudo.companion_7;0;0;0;0
de.ccc.events.badge.card10_9;19;0;11;8
threads.server_272;76;0;0;76
io.homeassistant.companion.android.minimal_1818;56;0;39;17
com.coboltforge.dontmind.multivnc_87;0;0;0;0
com.tailscale.ipn_82;0;0;0;0
de.selfnet.wifisetup_6;0;0;0;0
net.christianbeier.droidvnc_ng_9;74;0;0;74
xdsopl.robot36_45;0;0;0;0
com.dosse.airpods_18;0;0;0;0
com.hearham.repeaterstart_7;12;0;9;3
net.ibbaa.keepitup_2;0;0;0;0
com.dx.anonymousmessenger_46;46;32;0;14
com.pato05.uploadgram_6;0;0;0;0
org.unifiedpush.example_14;0;0;0;0
de.jbservices.nc_passwords_app_20;276;2;3;271
net.dcnnt_22;10;0;0;10
om.sstvencoder_26;102;0;0;102
threads.thor_100;95;0;0;95
com.fmsys.snapdrop_18;0;0;0;0
de.j4velin.wifiAutoOff_1910;0;0;0;0
com.wa2c.android.cifsdocumentsprovider_8;31;0;10;21
de.tu_chemnitz.wlan_17;1;0;0;1
com.genonbeta.TrebleShot_104;95;0;0;95
dk.kjeldsen.carwingsflutter_193;13;0;0;13
it.danieleverducci.nextcloudmaps_5;5;0;2;3
com.matejdro.pebbledialer_41;2;0;0;2
net.mullvad.mullvadvpn_21010099;0;0;0;0
com.fr3ts0n.ecu.gui.androbd_20502;0;0;0;0
com.vrem.wifianalyzer_58;2;0;0;2
com.app.missednotificationsreminder_2010605222;14;0;11;3
tech.platypush.platypush_1000100;15;0;0;15
org.strongswan.android_75;5;0;5;0
com.jeroen1602.lighthouse_pm_8;0;0;0;0
com.fr3ts0n.androbd.plugin.gpsprovider_10101;0;0;0;0
de.seemoo.at_tracking_detection_19;18;9;0;9
aq.metallists.loudbang_45;0;0;0;0
org.alberto97.ouilookup_3;7;0;0;7
io.github.powerinside.syncplay_23;4;0;4;0
at.h4x.metaapp_10102;0;0;0;0
